source_key,citation_count,citation_lines,citation_sections,citation_contexts,doi_or_url,metadata_provider,metadata_status,source_type,title,authors,year,venue,volume,issue,pages,publisher,is_referenced_by_count,metadata_notes,review_status,recommended_action,raw_entry
DeBoor2001,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",https://link.springer.com/book/9780387953663,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,"de Boor, C. (2001). \emph{A Practical Guide to Splines} (revised ed., Applied Mathematical Sciences, Vol. 27). Springer. \url{https://link.springer.com/book/9780387953663}"
DavisKahan1970,1,1135,FPCA rolling como diagnóstico de cambios de régimen,"La distancia reportada se calcula como \(d(P,Q)={P-Q}_F\), donde \(P\) y \(Q\) son los proyectores sobre las primeras tres direcciones local y global. La comparación geométrica de subespacios principales se relaciona con los ángulos entre subespacios estudiados por Davis y Kahan {DavisKahan1970} y con la comparación de espacios de componentes principales propuesta por Krzanowski {Krzanowski1979}. Un valor cero indica subespacios idénticos; valores mayores indican rotación. La medida compara envolventes de componentes y no signos individuales, por lo que no confunde una inversión arbitraria de signo con un cambio de estructura. Su escala se interpreta de manera relativa entre pares y ventanas, no como un test formal de quiebre.",10.1137/0707001,Crossref,verified,journal-article,The Rotation of Eigenvectors by a Perturbation. III,"Davis, Chandler; Kahan, W. M.",1970,SIAM Journal on Numerical Analysis,7,1,1-46,Society for Industrial & Applied Mathematics (SIAM),799,,pending_substantive_review,retain,"Davis, C., \& Kahan, W. M. (1970). The Rotation of Eigenvectors by a Perturbation. III. \emph{SIAM Journal on Numerical Analysis}, 7(1), 1--46. \url{https://doi.org/10.1137/0707001}"
DieboldMariano1995,2,100; 306,Introducción | Evaluación predictiva y benchmark de persistencia,"Esta tesis propone y evalúa un flujo de trabajo funcional completo. Primero, cada superficie diaria se aproxima mediante una base B-spline tensorial sobre delta y tenor. Segundo, se corrige la métrica de los coeficientes mediante la matriz de Gram y su factorización de Cholesky, de modo que la FPCA se realice en la geometría \(L^2\) correspondiente. Tercero, se comparan modelos de pronóstico fuera de muestra sobre puntajes FPCA contra dos persistencias: persistencia cruda en la malla observada (PM) y persistencia de la superficie ajustada (PA). La evaluación se realiza mediante ventanas móviles y reestimación local por origen, selección conjunta de \(TRAIN\_SIZE\) y \(K_0\), RMSE sobre la malla observada, tasas de acierto frente a PM y pruebas de Diebold-Mariano {DieboldMariano1995}. La me || La evaluación fuera de muestra exige que cada pronóstico se construya con información disponible en su fecha de origen. Diebold y Mariano {DieboldMariano1995} proporcionan un marco para contrastar diferencias de precisión predictiva mediante una serie de diferenciales de pérdida. Esta tesis complementa la prueba con medianas de error y tasas de acierto, porque una diferencia promedio estadísticamente significativa y la frecuencia con que un modelo gana responden preguntas relacionadas, pero distintas.",10.1080/07350015.1995.10524599,Crossref,verified,journal-article,Comparing Predictive Accuracy,"Diebold, Francis X.; Mariano, Roberto S.",1995,Journal of Business & Economic Statistics,13,3,253-263,Informa UK Limited,8496,,pending_substantive_review,retain,"Diebold, F. X., \& Mariano, R. S. (1995). Comparing Predictive Accuracy. \emph{Journal of Business \& Economic Statistics}, 13(3), 253--263. \url{https://doi.org/10.1080/07350015.1995.10524599}"
EilersMarx1996,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",10.1214/ss/1038425655,Crossref,verified,journal-article,Flexible smoothing with B-splines and penalties,"Eilers, Paul H. C.; Marx, Brian D.",1996,Statistical Science,11,2,,Institute of Mathematical Statistics,2774,,pending_substantive_review,retain,"Eilers, P. H. C., \& Marx, B. D. (1996). Flexible Smoothing with B-splines and Penalties. \emph{Statistical Science}, 11(2), 89--121. \url{https://doi.org/10.1214/ss/1038425655}"
EilersMarx2003,1,288,Análisis de datos funcionales y representación mediante bases,"La elección de una base no es un detalle puramente computacional. Determina el subespacio en el cual se aproxima la observación funcional y el tipo de regularidad que puede representarse. Las bases B-spline resultan apropiadas por su soporte local, estabilidad numérica y flexibilidad. La construcción se apoya en de Boor {DeBoor2001}. Eilers y Marx introducen el suavizado flexible mediante B-splines y penalizaciones {EilersMarx1996} y posteriormente desarrollan una aplicación bidimensional de regresión penalizada {EilersMarx2003}; Ruppert et al. {Ruppert2003} y Wood {Wood2017} ofrecen tratamientos más generales del suavizado penalizado. Para superficies bidimensionales, el producto tensorial permite combinar una base por delta y otra por tenor. Reiss y Xu {ReissXu2020} estudian la relación ",10.1016/s0169-7439(03)00029-7,Crossref,verified,journal-article,Multivariate calibration with temperature interaction using two-dimensional penalized signal regression,"Eilers, Paul H.C.; Marx, Brian D.",2003,Chemometrics and Intelligent Laboratory Systems,66,2,159-174,Elsevier BV,119,,pending_substantive_review,retain,"Eilers, P. H. C., \& Marx, B. D. (2003). Multivariate calibration with temperature interaction using two-dimensional penalized signal regression. \emph{Chemometrics and Intelligent Laboratory Systems}, 66(2), 159--174. \url{https://doi.org/10.1016/S0169-7439(03)00029-7}"
Fengler2003,2,96; 280,Introducción | Superficies de volatilidad y factores comunes,"La literatura muestra que las superficies de volatilidad suelen estar gobernadas por pocos factores latentes. Cont y Da Fonseca {ContDaFonseca2002} y Fengler et al. {Fengler2003} documentan estructuras comunes en volatilidades implícitas. En la literatura arbitrada, Kearney et al. {Kearney2018}, Shang y Kearney {ShangKearney2022} y Tan et al. {Tan2024} desarrollan enfoques funcionales para pronosticar superficies o procesos de volatilidad. Como antecedentes complementarios, Jaimungal y Ng {JaimungalNg2007} presentan un VAR-FPCA para curvas financieras en actas de conferencia y Weaver et al. {Weaver2020} aplican FPCA al pronóstico de superficies FX en un informe institucional. Estas contribuciones motivan la pregunta central de esta tesis: en una muestra reciente y densa de superficies camb || Cont y Da Fonseca {ContDaFonseca2002} documentan que las superficies de volatilidad implícita presentan dinámicas de factores comunes. Fengler et al. {Fengler2003} analizan componentes principales comunes y muestran que una fracción importante de la variación puede organizarse mediante pocos movimientos coordinados. El preprint de Avellaneda et al. {Avellaneda2020} retoma la representación por componentes principales para superficies de opciones sobre índices. En conjunto, estos trabajos respaldan la búsqueda de estructuras latentes parsimoniosas, aunque no implican que el modelo con mejor representación histórica sea necesariamente el mejor predictor fuera de muestra.",10.1023/b:redr.0000004823.77464.2d,Crossref,verified,journal-article,The Dynamics of Implied Volatilities: A Common Principal Components Approach,"Fengler, Matthias R.; Härdle, Wolfgang K.; Villa, Christophe",2003,Review of Derivatives Research,6,3,179-202,Springer Science and Business Media LLC,82,,pending_substantive_review,retain,"Fengler, M. R., Härdle, W. K., \& Villa, C. (2003). The Dynamics of Implied Volatilities: A Common Principal Components Approach. \emph{Review of Derivatives Research}, 6(3), 179--202. \url{https://doi.org/10.1023/B:REDR.0000004823.77464.2d}"
FerratyVieu2006,1,302,"Series funcionales, ARH y regresión no paramétrica","Ferraty y Vieu {FerratyVieu2006} proporcionan fundamentos para regresión funcional no paramétrica. Mas y Pumo {MasPumo2009} estudian regresión funcional con derivadas, y Ruiz-Medina et al. {RuizMedina2019} proponen regresión múltiple dinámica en espacios funcionales con regresores kernel y errores ARH(1). La especificación KernelARH de esta tesis operacionaliza esa idea en el espacio finito de puntajes: estima una media condicional no lineal y añade dependencia autorregresiva en los residuos. Liang et al. {Liang2022} muestran, en otra aplicación financiera, el alcance del FDA para medir y analizar volatilidad de alta frecuencia.",10.1007/0-387-36620-2,Crossref,verified,book,Nonparametric Functional Data Analysis,,2006,Springer Series in Statistics,,,,Springer New York,40,,pending_substantive_review,retain,"Ferraty, F., \& Vieu, P. (2006). \emph{Nonparametric Functional Data Analysis: Theory and Practice}. Springer. \url{https://doi.org/10.1007/0-387-36620-2}"
Grith2018,1,294,FPCA y aplicaciones financieras,"La FPCA generaliza la PCA al caso en que las observaciones pertenecen a un espacio funcional. Su papel consiste en encontrar funciones ortonormales que ordenen la variación muestral y proporcionen puntajes escalares para cada fecha. En actas de conferencia, Jaimungal y Ng {JaimungalNg2007} proponen combinar VAR y FPCA para series financieras; Grith et al. {Grith2018} desarrollan métodos FPCA para derivadas de curvas multivariadas y los aplican a superficies financieras. Estas contribuciones muestran usos concretos de la reducción funcional de dimensión sobre objetos observados de manera discreta.",10.5705/ss.202017.0199,Crossref,verified,journal-article,Functional Principal Component Analysis for Derivatives of Multivariate Curves,"Grith, Maria; Wagner, Heiko; Härdle, Wolfgang K.; Kneip, Alois",2018,Statistica Sinica,,,,Statistica Sinica (Institute of Statistical Science),3,,pending_substantive_review,retain,"Grith, M., Wagner, H., Härdle, W. K., \& Kneip, A. (2018). Functional Principal Component Analysis for Derivatives of Multivariate Curves. \emph{Statistica Sinica}, 28(5), 2469--2496. \url{https://doi.org/10.5705/ss.202017.0199}"
Hagan2002,2,94; 278,Introducción | Superficies de volatilidad y factores comunes,"Los pares latinoamericanos amplían un campo empírico en el que la evidencia publicada es menos abundante que para monedas desarrolladas. La base permite compararlos sobre una malla homogénea, pero no mide directamente liquidez, intervención cambiaria ni shocks macrofinancieros; por ello, la heterogeneidad entre pares se analiza de manera descriptiva y no se atribuye a esos mecanismos sin evidencia adicional. Los modelos paramétricos clásicos, como Heston {Heston1993} o SABR {Hagan2002}, proporcionan estructuras interpretables y compatibles con la práctica financiera, pero pueden ser rígidos cuando se busca capturar patrones empíricos de superficies observadas en mallas completas. En este contexto, el análisis de datos funcionales (FDA) ofrece una alternativa natural: tratar cada superficie || Los modelos paramétricos de volatilidad estocástica constituyen una referencia central para la valorización de opciones. Heston {Heston1993} introduce una dinámica estocástica de varianza con solución semianalítica para precios de opciones, mientras que Hagan et al. {Hagan2002} desarrollan la aproximación SABR para gestionar la dinámica del smile. Estos modelos incorporan estructura económica y restricciones de forma, pero la presente tesis persigue un objetivo distinto: describir directamente la covariación observada de una malla de volatilidades sin imponer que toda superficie provenga de un número fijo de parámetros estructurales.",https://wilmott.com/managing--smile--risk,,manual_review,,,,,,,,,,,,pending_substantive_review,retain,"Hagan, P., Kumar, D., Lesniewski, A., \& Woodward, D. (2002). Managing Smile Risk. \emph{Wilmott Magazine}, 1, 84--108. \url{https://wilmott.com/managing--smile--risk}"
HarveyLeybourneNewbold1997,1,758,Diseño de backtest y tuning,"Con esta convención, un estadístico DM negativo indica que el modelo alternativo tiene mayor pérdida que PM. La varianza del diferencial se estima con una corrección HAC truncada y se aplica la corrección finita propuesta por Harvey, Leybourne y Newbold {HarveyLeybourneNewbold1997}, usando como rezago \((h,5)\). El tope de cinco rezagos es una decisión computacional explícita de esta implementación y no una regla general del contraste.",10.1016/s0169-2070(96)00719-4,Crossref,verified,journal-article,Testing the equality of prediction mean squared errors,"Harvey, David; Leybourne, Stephen; Newbold, Paul",1997,International Journal of Forecasting,13,2,281-291,Elsevier BV,1559,,pending_substantive_review,retain,"Harvey, D., Leybourne, S., \& Newbold, P. (1997). Testing the Equality of Prediction Mean Squared Errors. \emph{International Journal of Forecasting}, 13(2), 281--291. \url{https://doi.org/10.1016/S0169-2070(96)00719-4}"
Heston1993,2,94; 278,Introducción | Superficies de volatilidad y factores comunes,"Los pares latinoamericanos amplían un campo empírico en el que la evidencia publicada es menos abundante que para monedas desarrolladas. La base permite compararlos sobre una malla homogénea, pero no mide directamente liquidez, intervención cambiaria ni shocks macrofinancieros; por ello, la heterogeneidad entre pares se analiza de manera descriptiva y no se atribuye a esos mecanismos sin evidencia adicional. Los modelos paramétricos clásicos, como Heston {Heston1993} o SABR {Hagan2002}, proporcionan estructuras interpretables y compatibles con la práctica financiera, pero pueden ser rígidos cuando se busca capturar patrones empíricos de superficies observadas en mallas completas. En este contexto, el análisis de datos funcionales (FDA) ofrece una alternativa natural: tratar cada superficie || Los modelos paramétricos de volatilidad estocástica constituyen una referencia central para la valorización de opciones. Heston {Heston1993} introduce una dinámica estocástica de varianza con solución semianalítica para precios de opciones, mientras que Hagan et al. {Hagan2002} desarrollan la aproximación SABR para gestionar la dinámica del smile. Estos modelos incorporan estructura económica y restricciones de forma, pero la presente tesis persigue un objetivo distinto: describir directamente la covariación observada de una malla de volatilidades sin imponer que toda superficie provenga de un número fijo de parámetros estructurales.",10.1093/rfs/6.2.327,Crossref,verified,journal-article,A Closed-Form Solution for Options with Stochastic Volatility with Applications to Bond and Currency Options,"Heston, Steven L.",1993,Review of Financial Studies,6,2,327-343,Oxford University Press (OUP),6864,,pending_substantive_review,retain,"Heston, S. L. (1993). A Closed-Form Solution for Options with Stochastic Volatility with Applications to Bond and Currency Options. \emph{Review of Financial Studies}, 6(2), 327--343. \url{https://doi.org/10.1093/rfs/6.2.327}"
HoaglinWelsch1978,1,431,Bases B-spline unidimensionales,"Si \(H=X(X^ X+ I)^{-1}X^\) es la matriz sombrero, su diagonal \(h_{qq}\) mide la sensibilidad del valor ajustado en el nodo \(q\) a su propia observación. Valores cercanos a uno indican alto leverage {HoaglinWelsch1978}. El residuo leave-one-out puede aproximarse por \(e_q/(1-h_{qq})\), lo que permite construir la suma de cuadrados predictiva PRESS sin reestimar 65 veces la superficie; el uso de PRESS como criterio de predicción se remonta a Allen {Allen1974}. En esta tesis, el leverage y el RMSE de ajuste se reportan como diagnósticos; no se utilizan para elegir retrospectivamente una base que favorezca un modelo de pronóstico.",10.1080/00031305.1978.10479237,Crossref,verified,journal-article,The Hat Matrix in Regression and ANOVA,"Hoaglin, David C.; Welsch, Roy E.",1978,The American Statistician,32,1,17-22,Informa UK Limited,1014,,pending_substantive_review,retain,"Hoaglin, D. C., \& Welsch, R. E. (1978). The Hat Matrix in Regression and ANOVA. \emph{The American Statistician}, 32(1), 17--22. \url{https://doi.org/10.1080/00031305.1978.10479237}"
HormannKokoszka2010,1,911,Métricas de evaluación,"El diseño se apoya en el marco de series funcionales temporalmente dependientes de Hörmann y Kokoszka {HormannKokoszka2010}. El escenario de cambio de régimen se incorpora como una alternativa controlada de no estacionariedad; la literatura de cambios en datos funcionales dependientes muestra por qué alteraciones de media o dinámica pueden modificar los subespacios estimados y la inferencia basada en componentes principales {AstonKirch2012}. Las formas, parámetros y fecha del quiebre elegidos aquí pertenecen al diseño experimental de la tesis y no se calibran para reproducir un episodio empírico específico.",10.1214/09-aos768,Crossref,verified,journal-article,Weakly dependent functional data,"Hörmann, Siegfried; Kokoszka, Piotr",2010,The Annals of Statistics,38,3,,Institute of Mathematical Statistics,248,,pending_substantive_review,retain,"Hörmann, S., \& Kokoszka, P. (2010). Weakly Dependent Functional Data. \emph{The Annals of Statistics}, 38(3), 1845--1884. \url{https://doi.org/10.1214/09-AOS768}"
